z,Time,ISM,Stars,H,He,C,N,O,Fe
0.0,0.0,1000000000000.0,1014956141850.8666,760000000000.0,240000000000.0,0.0,0.0,0.0,0.0
0.012012012012012012,163311205.6303573,1852384050783.9216,146236262517.08566,619882181038.8389,195752267696.47495,7911232935.063651,7911232935.063651,7832692304.669991,13094443873.815708
0.024024024024024024,321847326.4863908,3903938572111.2656,132939894241.63805,1593037110872.712,503064350802.03284,200683110031.62787,200683110031.62787,200604569401.23425,205866320970.37744
0.036036036036036036,475801569.1486285,6197899318325.87,125999085089.52327,2572119319608.1787,812248206191.9926,452106780553.284,452106780553.284,452028239922.8904,457289991492.03357
0.04804804804804805,625357204.1644762,8587776915928.033,121546349560.50203,3497977094062.947,1104624345493.498,745017701513.5643,745017701513.5643,744939160883.1707,750200912452.3138
0.06006006006006006,770688183.519772,11045832933821.266,117997277574.6632,4377652692614.81,1382416639773.6624,1070164732776.0795,1070164732776.0795,1070086192145.6858,1075347943714.829
0.07207207207207207,911959713.2678356,13561815516932.215,115412176819.21335,5211584568382.022,1645763547909.6694,1424840682580.3062,1424840682580.3062,1424762141949.912,1430023893519.0732
0.08408408408408408,1049328785.0320913,16122579522538.752,113311939688.85556,6006311519227.02,1896729953440.6768,1803608344885.5454,1803608344885.5454,1803529804255.1514,1808791555824.3125
0.0960960960960961,1182944669.753151,18721214303230.21,111716967389.0,6764863956664.337,2136272828419.8733,2203743211954.3096,2203743211954.3096,2203664671323.915,2208926422893.108
0.10810810810810811,1312949376.7414486,21350034099077.73,110104219031.24469,7493164317777.313,2366262416140.013,2621375673711.507,2621375673711.507,2621297133081.1123,2626558884650.305
0.12012012012012012,1439478080.8183405,24010053937458.023,108746115462.44702,8187993660954.436,2585682208723.5244,3057818349365.2217,3057818349365.2217,3057739808734.827,3063001560304.02
0.13213213213213212,1562659520.0781538,26697080040685.117,107650022496.74727,8852234652651.496,2795442521892.277,3511074548960.546,3511074548960.546,3510996008330.1514,3516257759899.344
