z,Time,ISM,Stars,H,He,C,N,O,Fe
0.0,0.0,1000000000000.0,1014956141850.8666,760000000000.0,240000000000.0,0.0,0.0,0.0,0.0
0.012012012012012012,163311205.6303573,1868640549273.733,146236262517.08566,643058475729.9756,203071097598.93823,7258897216.903943,7258897216.903943,7180356586.5102825,812824924.4899453
0.024024024024024024,321847326.4863908,1881936917549.1802,132939894241.63805,652332742245.2097,205999813340.59116,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.036036036036036036,475801569.1486285,1888877726701.294,125999085089.52327,657607757200.8169,207665607537.0987,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.04804804804804805,625357204.1644762,1893330462230.3154,121546349560.50203,660991836202.8733,208734264064.0638,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.06006006006006006,770688183.519772,1896879534216.155,117997277574.6632,663689130912.1108,209586041340.6652,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.07207207207207207,911959713.2678356,1899464634971.6047,115412176819.21335,665653807486.2527,210206465521.97318,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.08408408408408408,1049328785.0320913,1901564872101.9622,113311939688.85556,667249987705.3246,210710522433.25906,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.0960960960960961,1182944669.753151,1903159844401.8179,111716967389.0,668462166653.2148,211093315785.22437,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.10810810810810811,1312949376.7414486,1904772592759.5735,110104219031.24469,669687855405.109,211480375391.08563,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.12012012012012012,1439478080.8183405,1906130696328.371,108746115462.44702,670720014117.3951,211806320247.5971,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.13213213213213212,1562659520.0781538,1907226789294.0708,107650022496.74727,671553044771.327,212069382559.36508,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.14414414414414414,1682616366.5784202,1908054638388.2625,106822173402.55562,672182210082.9127,212268066341.97107,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.15615615615615616,1799465572.0621758,1909166366710.3765,105710445080.44144,673027123607.7196,212534881139.27847,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.16816816816816815,1913318690.6329212,1910006270123.7263,104870541667.09146,673665450201.8655,212736457958.48245,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.18018018018018017,2024282180.1369996,1910569185425.5076,104307626365.3104,674093265831.2191,212871557630.9099,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.1921921921921922,2132457683.8583295,1911418127426.8596,103458684363.95831,674738461752.2467,213075303711.2344,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.2042042042042042,2237942293.994641,1911987194979.1365,102889616811.6816,675170953091.977,213211879923.78082,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.21621621621621623,2340828798.2614155,1912558797272.6782,102318014518.13992,675605370835.0687,213349064474.2308,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.22822822822822822,2441205910.8579674,1913132978417.7854,101743833373.03267,676041748505.3502,213486867949.05652,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.24024024024024024,2539158488.92887,1913421050212.6812,101455761578.137,676260683069.471,213556005179.83148,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.25225225225225223,2634767735.561665,1913999185319.4927,100877626471.32542,676700065750.6478,213694757605.46625,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.26426426426426425,2728111390.277965,1914289260532.4277,100587551258.39037,676920522912.4785,213764375656.57065,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.27627627627627627,2819263907.8986673,1914871456734.6145,100005355056.2035,677362992026.1405,213904102745.0955,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.2882882882882883,2908296626.594377,1915163590197.6072,99713221593.21092,677585013458.0149,213974214776.2137,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.3003003003003003,2995277925.868547,1915456422384.4404,99420389406.37764,677807565920.0082,214044494501.0537,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.3123123123123123,3080273375.162894,1916044208997.0977,98832602793.72041,678254283745.6277,214185563288.09143,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.32432432432432434,3163345873.7215333,1916339176723.3167,98537635067.5015,678478459217.5541,214256355542.38397,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.3363363363363363,3244555782.3018346,1916634869779.1816,98241942011.63654,678703185940.0115,214327321875.79156,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.3483483483483483,3323961047.2754807,1916931295092.97,97945516697.84816,678928469178.4906,214398463951.10077,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.36036036036036034,3401617317.6226206,1917228459708.9797,97648352081.83849,679154314286.658,214469783458.94308,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.37237237237237236,3477578055.2845807,1917228459708.9797,97648352081.83849,679154314286.658,214469783458.94308,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.3843843843843844,3551894639.3063965,1917526370790.3184,97350441000.49983,679380726708.4753,214541282118.46436,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.3963963963963964,3624616464.168981,1917825035621.7808,97051776169.03749,679607711980.3867,214612961678.01532,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.4084084084084084,3695791032.681734,1918124461612.8171,96752350178.00119,679835275733.5743,214684823915.86404,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.42042042042042044,3765464043.7799087,1918424656300.5962,96452155490.2222,680063423696.2864,214756870640.931,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.43243243243243246,3833679475.546505,1918424656300.5962,96452155490.2222,680063423696.2864,214756870640.931,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.4444444444444444,3900479663.7558875,1918725627353.1665,96151184437.65187,680292161696.2399,214829103693.54788,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.45645645645645644,3965905376.2155795,1919027382572.721,95849429218.09735,680521495663.1013,214901524946.24097,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
0.46846846846846846,4029995883.163476,1919027382572.721,95849429218.09735,680521495663.1013,214901524946.24097,7623359223.090485,7623359223.090485,7544818592.696824,812824924.4899453
